Epoch: 1, G_loss: 1.64916, D_loss: 0.62720, D_fake_mean: 0.25636, D_real_acc: 91.000%, D_fake_acc: 92.000%
Epoch: 2, G_loss: 3.58207, D_loss: 0.10477, D_fake_mean: 0.04750, D_real_acc: 98.000%, D_fake_acc: 99.000%
Epoch: 3, G_loss: 4.57526, D_loss: 0.03491, D_fake_mean: 0.01741, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 4, G_loss: 5.40477, D_loss: 0.01551, D_fake_mean: 0.00705, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 5, G_loss: 5.98479, D_loss: 0.00827, D_fake_mean: 0.00387, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 6, G_loss: 6.89411, D_loss: 0.00428, D_fake_mean: 0.00187, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 7, G_loss: 7.70507, D_loss: 0.00195, D_fake_mean: 0.00081, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 8, G_loss: 7.91069, D_loss: 0.00207, D_fake_mean: 0.00094, D_real_acc: 99.000%, D_fake_acc: 100.000%
Epoch: 9, G_loss: 6.78381, D_loss: 0.04066, D_fake_mean: 0.01387, D_real_acc: 99.000%, D_fake_acc: 99.000%
Epoch: 10, G_loss: 3.24545, D_loss: 0.32559, D_fake_mean: 0.11209, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 11, G_loss: 2.32116, D_loss: 0.56803, D_fake_mean: 0.19180, D_real_acc: 87.000%, D_fake_acc: 90.000%
Epoch: 12, G_loss: 2.09519, D_loss: 0.61888, D_fake_mean: 0.20976, D_real_acc: 86.000%, D_fake_acc: 89.000%
Epoch: 13, G_loss: 2.06069, D_loss: 0.63410, D_fake_mean: 0.21742, D_real_acc: 86.000%, D_fake_acc: 88.000%
Epoch: 14, G_loss: 1.77797, D_loss: 0.81503, D_fake_mean: 0.26589, D_real_acc: 80.000%, D_fake_acc: 83.000%
Epoch: 15, G_loss: 1.56311, D_loss: 0.90840, D_fake_mean: 0.29794, D_real_acc: 77.000%, D_fake_acc: 80.000%
Epoch: 16, G_loss: 1.42573, D_loss: 1.00134, D_fake_mean: 0.32626, D_real_acc: 74.000%, D_fake_acc: 77.000%
Epoch: 17, G_loss: 1.29769, D_loss: 1.07853, D_fake_mean: 0.35032, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 18, G_loss: 1.25562, D_loss: 1.06199, D_fake_mean: 0.35331, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 19, G_loss: 1.25309, D_loss: 1.05113, D_fake_mean: 0.35229, D_real_acc: 72.000%, D_fake_acc: 76.000%
Epoch: 20, G_loss: 1.22865, D_loss: 1.05137, D_fake_mean: 0.35687, D_real_acc: 72.000%, D_fake_acc: 76.000%
Epoch: 21, G_loss: 1.22202, D_loss: 1.07269, D_fake_mean: 0.35988, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 22, G_loss: 1.22927, D_loss: 1.07367, D_fake_mean: 0.35897, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 23, G_loss: 1.22313, D_loss: 1.05953, D_fake_mean: 0.35801, D_real_acc: 71.000%, D_fake_acc: 75.000%
Epoch: 24, G_loss: 1.26098, D_loss: 1.05010, D_fake_mean: 0.34884, D_real_acc: 72.000%, D_fake_acc: 76.000%
Epoch: 25, G_loss: 1.26627, D_loss: 1.03397, D_fake_mean: 0.34896, D_real_acc: 73.000%, D_fake_acc: 76.000%
Epoch: 26, G_loss: 1.24071, D_loss: 1.05522, D_fake_mean: 0.35664, D_real_acc: 72.000%, D_fake_acc: 75.000%
Epoch: 27, G_loss: 1.21625, D_loss: 1.07446, D_fake_mean: 0.36214, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 28, G_loss: 1.20477, D_loss: 1.08068, D_fake_mean: 0.36437, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 29, G_loss: 1.17628, D_loss: 1.09524, D_fake_mean: 0.37326, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 30, G_loss: 1.16356, D_loss: 1.11672, D_fake_mean: 0.37635, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 31, G_loss: 1.15095, D_loss: 1.12756, D_fake_mean: 0.37873, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 32, G_loss: 1.14012, D_loss: 1.13074, D_fake_mean: 0.38079, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 33, G_loss: 1.13542, D_loss: 1.12709, D_fake_mean: 0.38168, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 34, G_loss: 1.14102, D_loss: 1.12580, D_fake_mean: 0.37979, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 35, G_loss: 1.14655, D_loss: 1.11439, D_fake_mean: 0.37762, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 36, G_loss: 1.14773, D_loss: 1.10603, D_fake_mean: 0.37652, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 37, G_loss: 1.14946, D_loss: 1.11170, D_fake_mean: 0.37594, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 38, G_loss: 1.14311, D_loss: 1.11780, D_fake_mean: 0.37747, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 39, G_loss: 1.13733, D_loss: 1.12633, D_fake_mean: 0.37842, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 40, G_loss: 1.11394, D_loss: 1.13216, D_fake_mean: 0.38416, D_real_acc: 68.000%, D_fake_acc: 72.000%
Epoch: 41, G_loss: 1.11328, D_loss: 1.12727, D_fake_mean: 0.38530, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 42, G_loss: 1.12303, D_loss: 1.11838, D_fake_mean: 0.38099, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 43, G_loss: 1.11819, D_loss: 1.11582, D_fake_mean: 0.38283, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 44, G_loss: 1.11832, D_loss: 1.12056, D_fake_mean: 0.38290, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 45, G_loss: 1.12495, D_loss: 1.11637, D_fake_mean: 0.38036, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 46, G_loss: 1.12054, D_loss: 1.11736, D_fake_mean: 0.38125, D_real_acc: 69.000%, D_fake_acc: 73.000%
Epoch: 47, G_loss: 1.12107, D_loss: 1.11798, D_fake_mean: 0.38252, D_real_acc: 69.000%, D_fake_acc: 72.000%
Epoch: 48, G_loss: 1.12831, D_loss: 1.11587, D_fake_mean: 0.37998, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 49, G_loss: 1.15016, D_loss: 1.11458, D_fake_mean: 0.37445, D_real_acc: 70.000%, D_fake_acc: 74.000%
Epoch: 50, G_loss: 1.13166, D_loss: 1.11537, D_fake_mean: 0.38056, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 51, G_loss: 1.12220, D_loss: 1.12106, D_fake_mean: 0.38357, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 52, G_loss: 1.14476, D_loss: 1.11896, D_fake_mean: 0.37704, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 53, G_loss: 1.14774, D_loss: 1.09634, D_fake_mean: 0.37490, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 54, G_loss: 1.16125, D_loss: 1.08998, D_fake_mean: 0.37159, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 55, G_loss: 1.15666, D_loss: 1.08861, D_fake_mean: 0.37353, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 56, G_loss: 1.16101, D_loss: 1.09484, D_fake_mean: 0.37312, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 57, G_loss: 1.15446, D_loss: 1.09132, D_fake_mean: 0.37376, D_real_acc: 71.000%, D_fake_acc: 74.000%
Epoch: 58, G_loss: 1.15365, D_loss: 1.09833, D_fake_mean: 0.37455, D_real_acc: 70.000%, D_fake_acc: 74.000%
Epoch: 59, G_loss: 1.14488, D_loss: 1.10635, D_fake_mean: 0.37724, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 60, G_loss: 1.13290, D_loss: 1.11111, D_fake_mean: 0.38089, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 61, G_loss: 1.13045, D_loss: 1.11435, D_fake_mean: 0.38088, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 62, G_loss: 1.12651, D_loss: 1.11037, D_fake_mean: 0.38109, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 63, G_loss: 1.13600, D_loss: 1.11039, D_fake_mean: 0.37789, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 64, G_loss: 1.13731, D_loss: 1.09896, D_fake_mean: 0.37767, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 65, G_loss: 1.13576, D_loss: 1.10299, D_fake_mean: 0.37801, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 66, G_loss: 1.13840, D_loss: 1.10835, D_fake_mean: 0.37914, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 67, G_loss: 1.13969, D_loss: 1.10832, D_fake_mean: 0.37919, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 68, G_loss: 1.14012, D_loss: 1.10230, D_fake_mean: 0.37836, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 69, G_loss: 1.15755, D_loss: 1.10224, D_fake_mean: 0.37401, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 70, G_loss: 1.15207, D_loss: 1.10040, D_fake_mean: 0.37577, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 71, G_loss: 1.16184, D_loss: 1.10452, D_fake_mean: 0.37446, D_real_acc: 70.000%, D_fake_acc: 73.000%
Epoch: 72, G_loss: 1.16233, D_loss: 1.09144, D_fake_mean: 0.37470, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 73, G_loss: 1.17192, D_loss: 1.09380, D_fake_mean: 0.37350, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 74, G_loss: 1.16313, D_loss: 1.09832, D_fake_mean: 0.37501, D_real_acc: 71.000%, D_fake_acc: 73.000%
Epoch: 75, G_loss: 1.14137, D_loss: 1.11205, D_fake_mean: 0.38083, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 76, G_loss: 1.14079, D_loss: 1.11689, D_fake_mean: 0.38015, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 77, G_loss: 1.14290, D_loss: 1.11600, D_fake_mean: 0.38128, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 78, G_loss: 1.13885, D_loss: 1.11722, D_fake_mean: 0.38070, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 79, G_loss: 1.15198, D_loss: 1.11497, D_fake_mean: 0.37712, D_real_acc: 70.000%, D_fake_acc: 72.000%
Epoch: 80, G_loss: 1.13894, D_loss: 1.12151, D_fake_mean: 0.38152, D_real_acc: 69.000%, D_fake_acc: 72.000%
