Epoch: 1, G_loss: 2.92609, D_loss: 0.54234, D_fake_mean: 0.11804, D_real_acc: 88.000%, D_fake_acc: 97.000%
Epoch: 2, G_loss: 3.05296, D_loss: 0.46416, D_fake_mean: 0.11671, D_real_acc: 89.000%, D_fake_acc: 96.000%
Epoch: 3, G_loss: 3.66934, D_loss: 0.26923, D_fake_mean: 0.07257, D_real_acc: 94.000%, D_fake_acc: 98.000%
Epoch: 4, G_loss: 3.90466, D_loss: 0.35739, D_fake_mean: 0.08305, D_real_acc: 92.000%, D_fake_acc: 96.000%
Epoch: 5, G_loss: 4.25769, D_loss: 0.27141, D_fake_mean: 0.06629, D_real_acc: 94.000%, D_fake_acc: 97.000%
Epoch: 6, G_loss: 3.70462, D_loss: 0.38561, D_fake_mean: 0.09649, D_real_acc: 91.000%, D_fake_acc: 95.000%
Epoch: 7, G_loss: 3.37036, D_loss: 0.49402, D_fake_mean: 0.12554, D_real_acc: 89.000%, D_fake_acc: 93.000%
Epoch: 8, G_loss: 3.24411, D_loss: 0.55568, D_fake_mean: 0.13670, D_real_acc: 87.000%, D_fake_acc: 92.000%
Epoch: 9, G_loss: 3.45785, D_loss: 0.47173, D_fake_mean: 0.12575, D_real_acc: 90.000%, D_fake_acc: 92.000%
Epoch: 10, G_loss: 2.91225, D_loss: 0.54307, D_fake_mean: 0.15384, D_real_acc: 89.000%, D_fake_acc: 92.000%
Epoch: 11, G_loss: 2.89258, D_loss: 0.50351, D_fake_mean: 0.14350, D_real_acc: 90.000%, D_fake_acc: 93.000%
Epoch: 12, G_loss: 3.11336, D_loss: 0.43317, D_fake_mean: 0.12360, D_real_acc: 91.000%, D_fake_acc: 94.000%
Epoch: 13, G_loss: 3.01024, D_loss: 0.56170, D_fake_mean: 0.14523, D_real_acc: 88.000%, D_fake_acc: 92.000%
Epoch: 14, G_loss: 2.86287, D_loss: 0.63518, D_fake_mean: 0.16417, D_real_acc: 86.000%, D_fake_acc: 90.000%
Epoch: 15, G_loss: 2.63136, D_loss: 0.64890, D_fake_mean: 0.17952, D_real_acc: 86.000%, D_fake_acc: 90.000%
Epoch: 16, G_loss: 2.60871, D_loss: 0.68340, D_fake_mean: 0.18115, D_real_acc: 85.000%, D_fake_acc: 89.000%
Epoch: 17, G_loss: 2.50399, D_loss: 0.69621, D_fake_mean: 0.19082, D_real_acc: 84.000%, D_fake_acc: 89.000%
Epoch: 18, G_loss: 2.62835, D_loss: 0.75112, D_fake_mean: 0.18684, D_real_acc: 84.000%, D_fake_acc: 89.000%
Epoch: 19, G_loss: 2.29074, D_loss: 0.73380, D_fake_mean: 0.21081, D_real_acc: 83.000%, D_fake_acc: 88.000%
Epoch: 20, G_loss: 2.73654, D_loss: 0.58826, D_fake_mean: 0.16288, D_real_acc: 87.000%, D_fake_acc: 91.000%
Epoch: 21, G_loss: 2.61832, D_loss: 0.66802, D_fake_mean: 0.17883, D_real_acc: 85.000%, D_fake_acc: 90.000%
Epoch: 22, G_loss: 2.71007, D_loss: 0.64988, D_fake_mean: 0.16988, D_real_acc: 86.000%, D_fake_acc: 91.000%
Epoch: 23, G_loss: 2.59563, D_loss: 0.72478, D_fake_mean: 0.19808, D_real_acc: 83.000%, D_fake_acc: 87.000%
Epoch: 24, G_loss: 2.52563, D_loss: 0.77066, D_fake_mean: 0.20352, D_real_acc: 82.000%, D_fake_acc: 86.000%
Epoch: 25, G_loss: 1.97051, D_loss: 0.86649, D_fake_mean: 0.25524, D_real_acc: 79.000%, D_fake_acc: 83.000%
Epoch: 26, G_loss: 2.06422, D_loss: 0.78391, D_fake_mean: 0.23934, D_real_acc: 82.000%, D_fake_acc: 85.000%
Epoch: 27, G_loss: 2.13009, D_loss: 0.77621, D_fake_mean: 0.22860, D_real_acc: 82.000%, D_fake_acc: 86.000%
Epoch: 28, G_loss: 2.38940, D_loss: 0.67604, D_fake_mean: 0.19977, D_real_acc: 85.000%, D_fake_acc: 88.000%
Epoch: 29, G_loss: 2.26480, D_loss: 0.70570, D_fake_mean: 0.21087, D_real_acc: 84.000%, D_fake_acc: 87.000%
Epoch: 30, G_loss: 2.29385, D_loss: 0.79987, D_fake_mean: 0.21931, D_real_acc: 81.000%, D_fake_acc: 86.000%
Epoch: 31, G_loss: 2.28965, D_loss: 0.71634, D_fake_mean: 0.21056, D_real_acc: 83.000%, D_fake_acc: 87.000%
Epoch: 32, G_loss: 2.46047, D_loss: 0.68704, D_fake_mean: 0.19414, D_real_acc: 84.000%, D_fake_acc: 88.000%
Epoch: 33, G_loss: 2.38713, D_loss: 0.69648, D_fake_mean: 0.19990, D_real_acc: 84.000%, D_fake_acc: 88.000%
Epoch: 34, G_loss: 2.25369, D_loss: 0.68736, D_fake_mean: 0.20662, D_real_acc: 84.000%, D_fake_acc: 88.000%
Epoch: 35, G_loss: 2.40266, D_loss: 0.73399, D_fake_mean: 0.20543, D_real_acc: 83.000%, D_fake_acc: 87.000%
Epoch: 36, G_loss: 1.96478, D_loss: 0.89138, D_fake_mean: 0.25643, D_real_acc: 79.000%, D_fake_acc: 83.000%
Epoch: 37, G_loss: 2.04178, D_loss: 0.81664, D_fake_mean: 0.23978, D_real_acc: 81.000%, D_fake_acc: 85.000%
Epoch: 38, G_loss: 2.08261, D_loss: 0.87005, D_fake_mean: 0.24154, D_real_acc: 79.000%, D_fake_acc: 84.000%
Epoch: 39, G_loss: 2.05778, D_loss: 0.78482, D_fake_mean: 0.23150, D_real_acc: 82.000%, D_fake_acc: 86.000%
Epoch: 40, G_loss: 2.12128, D_loss: 0.81577, D_fake_mean: 0.22901, D_real_acc: 81.000%, D_fake_acc: 86.000%
Epoch: 41, G_loss: 2.30096, D_loss: 0.73589, D_fake_mean: 0.21073, D_real_acc: 83.000%, D_fake_acc: 88.000%
Epoch: 42, G_loss: 2.24405, D_loss: 0.71787, D_fake_mean: 0.21028, D_real_acc: 83.000%, D_fake_acc: 88.000%
Epoch: 43, G_loss: 2.22335, D_loss: 0.68816, D_fake_mean: 0.20825, D_real_acc: 84.000%, D_fake_acc: 88.000%
Epoch: 44, G_loss: 2.42612, D_loss: 0.71431, D_fake_mean: 0.19925, D_real_acc: 83.000%, D_fake_acc: 88.000%
Epoch: 45, G_loss: 2.51287, D_loss: 0.65972, D_fake_mean: 0.18953, D_real_acc: 85.000%, D_fake_acc: 89.000%
Epoch: 46, G_loss: 2.72536, D_loss: 0.55061, D_fake_mean: 0.16143, D_real_acc: 88.000%, D_fake_acc: 92.000%
Epoch: 47, G_loss: 2.88030, D_loss: 0.48127, D_fake_mean: 0.14603, D_real_acc: 90.000%, D_fake_acc: 93.000%
Epoch: 48, G_loss: 3.05010, D_loss: 0.52543, D_fake_mean: 0.14362, D_real_acc: 88.000%, D_fake_acc: 92.000%
Epoch: 49, G_loss: 3.11017, D_loss: 0.44506, D_fake_mean: 0.13412, D_real_acc: 90.000%, D_fake_acc: 93.000%
Epoch: 50, G_loss: 3.65274, D_loss: 0.41249, D_fake_mean: 0.11012, D_real_acc: 91.000%, D_fake_acc: 94.000%
Epoch: 51, G_loss: 3.29048, D_loss: 0.48403, D_fake_mean: 0.13269, D_real_acc: 89.000%, D_fake_acc: 93.000%
Epoch: 52, G_loss: 2.98241, D_loss: 0.54200, D_fake_mean: 0.15486, D_real_acc: 88.000%, D_fake_acc: 91.000%
Epoch: 53, G_loss: 3.62534, D_loss: 0.36421, D_fake_mean: 0.10747, D_real_acc: 92.000%, D_fake_acc: 95.000%
Epoch: 54, G_loss: 3.22580, D_loss: 0.42475, D_fake_mean: 0.12264, D_real_acc: 91.000%, D_fake_acc: 94.000%
Epoch: 55, G_loss: 3.38348, D_loss: 0.44610, D_fake_mean: 0.11991, D_real_acc: 90.000%, D_fake_acc: 94.000%
Epoch: 56, G_loss: 3.39422, D_loss: 0.44449, D_fake_mean: 0.12229, D_real_acc: 90.000%, D_fake_acc: 93.000%
Epoch: 57, G_loss: 3.48398, D_loss: 0.45985, D_fake_mean: 0.11801, D_real_acc: 90.000%, D_fake_acc: 94.000%
Epoch: 58, G_loss: 3.48665, D_loss: 0.36572, D_fake_mean: 0.11283, D_real_acc: 92.000%, D_fake_acc: 94.000%
Epoch: 59, G_loss: 4.15220, D_loss: 0.34257, D_fake_mean: 0.08549, D_real_acc: 92.000%, D_fake_acc: 96.000%
Epoch: 60, G_loss: 3.89638, D_loss: 0.34047, D_fake_mean: 0.09359, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 61, G_loss: 3.59505, D_loss: 0.37427, D_fake_mean: 0.10640, D_real_acc: 92.000%, D_fake_acc: 95.000%
Epoch: 62, G_loss: 3.78203, D_loss: 0.34264, D_fake_mean: 0.09759, D_real_acc: 92.000%, D_fake_acc: 95.000%
Epoch: 63, G_loss: 3.86126, D_loss: 0.31771, D_fake_mean: 0.09456, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 64, G_loss: 3.90484, D_loss: 0.34095, D_fake_mean: 0.09335, D_real_acc: 93.000%, D_fake_acc: 95.000%
Epoch: 65, G_loss: 3.97289, D_loss: 0.36518, D_fake_mean: 0.09624, D_real_acc: 92.000%, D_fake_acc: 95.000%
Epoch: 66, G_loss: 4.06289, D_loss: 0.30699, D_fake_mean: 0.08710, D_real_acc: 94.000%, D_fake_acc: 95.000%
Epoch: 67, G_loss: 4.06625, D_loss: 0.30986, D_fake_mean: 0.08430, D_real_acc: 93.000%, D_fake_acc: 96.000%
Epoch: 68, G_loss: 4.28091, D_loss: 0.31844, D_fake_mean: 0.08278, D_real_acc: 93.000%, D_fake_acc: 96.000%
Epoch: 69, G_loss: 4.11501, D_loss: 0.36424, D_fake_mean: 0.09505, D_real_acc: 92.000%, D_fake_acc: 95.000%
Epoch: 70, G_loss: 4.23753, D_loss: 0.28727, D_fake_mean: 0.07880, D_real_acc: 94.000%, D_fake_acc: 96.000%
Epoch: 71, G_loss: 4.20241, D_loss: 0.28494, D_fake_mean: 0.08040, D_real_acc: 94.000%, D_fake_acc: 96.000%
